,Portfolio,Annualized Return,Annualized Volatility,Annualized Risk-Free Rate,Sharpe Ratio,Minimum Monthly Return,Maximum Monthly Return,Total Cumulative Return
0,Minimum Variance,0.0788,0.1081,0.0175,0.5663,-0.0747,0.1367,1.3956
1,Value Weighted,0.0816,0.1568,0.0175,0.4083,-0.1676,0.1344,1.2918
