Portfolio,Ann. Return,Ann. Volatility,Sharpe Ratio,Min Monthly,Max Monthly
MV,0.07875194570997557,0.10807480359529487,0.5669864174765276,-0.07469915291397239,0.13672730680638168
MV (0.5),0.07332339153529552,0.10466820113415366,0.5335755361240458,-0.07227712498425057,0.1406317580718351
VW,0.08156343209871987,0.1567724004422423,0.4087992013768466,-0.16760634465180382,0.13442886725722425
VW (0.5),0.11252460165961908,0.1843343777484657,0.5156368704557077,-0.18228074704656516,0.14284122783345068
VW (NZ),0.1152005249527049,0.18505876400126176,0.5280783403051293,-0.1861834873545179,0.14182988658928058
