,MV,MV (0.5),VW,VW (0.5),VW (NZ)
2014,194.78995753843415,110.9010195926205,441.05751878543475,258.63408344047696,363.8019866115992
2015,266.6235239865563,140.72581377799855,528.5450842326879,366.44741990022317,319.1620147084707
2016,48.15012288745206,14.698227140162718,421.4507323352148,222.76519977714608,276.04867111727947
2017,149.57424399015423,31.55676347630432,579.1998019012192,239.07889959053063,172.9387780683537
2018,276.91352767675994,50.6128047118702,525.289561353253,291.59460705270425,205.8041770672424
2019,1043.079454641516,640.8419121852789,431.0774260152605,202.30710206169877,511.5971638474524
2020,557.4728077117604,224.04373042806372,512.2414196937137,246.23119610065743,203.4728308012305
2021,334.7395376486194,204.25873781649062,307.53913512311414,162.15105336410278,67.48397213311307
2022,543.3272306662957,418.5838427926512,433.33624547790384,359.9054209183755,390.4761060777898
2023,465.0597788716375,258.0693320965144,342.00154941399416,87.39380407692565,125.80770006177676
2024,593.2080920590038,270.1163453679125,322.70767626993006,194.97698926715822,112.59711459147529
2025,436.4530804900155,216.22570920940416,306.32341675737393,170.62454396991052,55.206885368507415
