,0
2014-01-31,-0.06995999787806217
2014-02-28,0.007077457354303522
2014-03-31,0.031014690479079173
2014-04-30,0.004055817840409585
2014-05-30,0.04396446320328712
2014-06-30,0.04219108585513523
2014-07-31,-0.0006371788533590123
2014-08-29,0.01866945181166706
2014-09-30,-0.07690305471508013
2014-10-31,0.009748041261316766
2014-11-28,-0.022087223680410814
2014-12-31,-0.0595606340665397
2015-01-30,0.0017952195409868753
2015-02-27,0.026456840814753642
2015-03-31,-0.014522757995966099
2015-04-30,0.02919711443955993
2015-05-29,-0.05567269905829476
2015-06-30,-0.008405124178523043
2015-07-31,-0.056702342655110635
2015-08-31,-0.12548028788449028
2015-09-30,-0.02687936531974711
2015-10-30,0.07858587172899574
2015-11-30,-0.03590444067573917
2015-12-31,-0.038128066366773614
2016-01-29,-0.026060914316476842
2016-02-29,-0.016212415764084144
2016-03-31,0.13954453837725386
2016-04-29,-0.02134267807858516
2016-05-31,-0.06995229139002641
2016-06-30,0.03196790479557275
2016-07-29,0.016617042499878294
2016-08-31,0.025061911895803535
2016-09-30,-0.006254186163242782
2016-10-31,0.0499845719800285
2016-11-30,-0.04996034475453885
2016-12-30,0.02455998783361488
2017-01-31,0.013781468083678559
2017-02-28,0.01351012785666679
2017-03-31,0.07989437176003898
2017-04-28,0.06059531727177526
2017-05-31,0.04101567394153552
2017-06-30,0.005772843380885266
2017-07-31,0.08151627731095998
2017-08-31,0.048951931768917094
2017-09-29,-0.03555090509715703
2017-10-31,-0.010470131031946004
2017-11-30,-0.005880789988075239
2017-12-29,0.01969193490117038
2018-01-31,0.08521883531596057
2018-02-28,-0.029660732706091746
2018-03-30,0.010302055407112789
2018-04-30,-0.0161756821656715
2018-05-31,-0.11644973349191053
2018-06-29,0.03761856236118318
2018-07-31,0.023107485156517404
2018-08-31,-0.017932291457196443
2018-09-28,-0.022002165908843255
2018-10-31,-0.09059125340198315
2018-11-30,-0.029770138687787384
2018-12-31,0.024076265802682434
2019-01-31,0.0666054751238759
2019-02-28,0.009177497721412966
2019-03-29,-0.013765814281805878
2019-04-30,0.0008881057712010814
2019-05-31,-0.0387960716446749
2019-06-28,0.049454039817106485
2019-07-31,-0.020484674580722916
2019-08-30,0.0155877213246633
2019-09-30,0.009365787094800564
2019-10-31,0.05493093583108647
2019-11-29,-0.0429711739718953
2019-12-31,0.0565456128316105
2020-01-31,-0.016051464660470166
2020-02-28,-0.0416820693974484
2020-03-31,-0.10897235603395648
2020-04-30,0.07530586773110494
2020-05-29,0.0238093722347549
2020-06-30,0.016430495540228563
2020-07-31,0.021108486101690797
2020-08-31,0.006941636600368908
2020-09-30,0.002178887530651193
2020-10-30,-0.014868402043845753
2020-11-30,0.0993663240431612
2020-12-31,0.0315017053314353
2021-01-29,-0.040590425865022955
2021-02-26,-0.00701235559537838
2021-03-31,0.05662108155008422
2021-04-30,0.02129460833682044
2021-05-31,0.03253962228376147
2021-06-30,-0.0036800643216886478
2021-07-30,0.018216806299182653
2021-08-31,0.05817119010789635
2021-09-30,-0.04306248573248314
2021-10-29,-0.0033996451025404355
2021-11-30,-0.025908732248555787
2021-12-31,0.09156912217759874
2022-01-31,-0.046516910095256776
2022-02-28,-0.00970433106573202
2022-03-31,0.0024474485279906213
2022-04-29,-0.029386607279668162
2022-05-31,0.01669974410333621
2022-06-30,-0.0652038138877288
2022-07-29,-0.008836567832576147
2022-08-31,-0.02173334491170556
2022-09-30,-0.06434409076281006
2022-10-31,0.019755949163358412
2022-11-30,0.1609568546798209
2022-12-30,-0.026140043321894943
2023-01-31,0.031601899389366195
2023-02-28,-0.028587085119198375
2023-03-31,0.05149675874268436
2023-04-28,0.02450673073741036
2023-05-31,-0.003290720513159035
2023-06-30,0.016420547189987814
2023-07-31,0.07338340102054264
2023-08-31,-0.05023904869762761
2023-09-29,-0.031829872666153995
2023-10-31,-0.04618179619025056
2023-11-30,0.06327073454151921
2023-12-29,0.045165153386398815
2024-01-31,-0.022634767915845264
2024-02-29,0.010519348173960781
2024-03-29,0.001796578219149544
2024-04-30,0.023564849702378127
2024-05-31,-0.004739300893409526
2024-06-28,0.008442844073003046
2024-07-31,0.03004962779522063
2024-08-30,0.00531393223818199
2024-09-30,0.053159798853890494
2024-10-31,-0.05382372153489708
2024-11-29,-0.03756165362716228
2024-12-31,-0.004272359498517613
2025-01-31,-0.03209336966823687
2025-02-28,-0.02000899658000891
2025-03-31,0.03650162045410003
2025-04-30,0.03980902601541023
2025-05-30,0.0353161383376986
2025-06-30,0.01538282904177204
2025-07-31,0.006852453745889565
2025-08-29,0.010945267091201302
2025-09-30,0.008438858235393802
2025-10-31,0.021651824688655282
2025-11-28,0.029970123640024382
2025-12-31,0.02579935054434674
