Portfolio,Avg WACI (tCO2/M$ rev),Avg CF (tCO2/M$ inv),Min CF,Max CF
MV,409.1159429948609,283.3353194907423,20.71252919212779,634.8333467647212
MV (0.5),202.7640003446062,141.66765974538689,10.356264596106604,317.41667338270213
VW,429.23079727992496,547.0109821935521,403.4775418213042,670.566147516855
VW (0.5),297.6987667781423,259.11777627485776,29.086197078603636,335.283073758191
VW (NZ),200.26204279304284,163.21839824858372,28.88147081042473,281.2993908031534
