,Portfolio,Annualized Return,Annualized Volatility,Annualized Risk-Free Rate,Sharpe Ratio,Minimum Monthly Return,Maximum Monthly Return,Total Cumulative Return
0,Minimum Variance,0.07875194729931106,0.10807480368683316,0.017545631067961164,0.5663328929905492,-0.07469915412113819,0.13672730681815004,1.3956355485428888
1,Value Weighted,0.08156343209871987,0.1567724004422423,0.017545631067961164,0.40834866883564747,-0.16760634465180382,0.13442886725722425,1.2918006638928738
